out_file;xmin;ymin;xmax;ymax;maxiter;xres;yres;run_time;err;mean;mean_time;mean_err;bin_time;bin_err;n_threads
c_schedule_static.bmp;-0.7489;0.1007;-0.74925;0.10035000000000005;1000;1024;1024;2.45215E-01;152849.8974288174;2.220E+02;1.20239E-02;0.0;1.44291E-02;0.0;8
c_schedule_dynamic.bmp;-0.7489;0.1007;-0.74925;0.10035000000000005;1000;1024;1024;1.97721E-01;152849.8974288174;2.220E+02;1.47526E-02;0.0;1.11690E-02;0.0;8
c_media_atomic.bmp;-0.7489;0.1007;-0.74925;0.10035000000000005;1000;1024;1024;1.85537E-01;152849.8974288174;2.220E+02;3.91321E-02;0.0;1.99223E-02;0.0;8
prof.bmp;-0.7489;0.1007;-0.74925;0.10035000000000005;1000;2048;2048;3.36094E+00;0.0;2.220E+02;1.53708E-03;0.0;2.75612E-03;0.0;8
c_tasks.bmp;-0.7489;0.1007;-0.74925;0.10035000000000005;1000;2048;2048;3.21218E+00;305806.3442899771;2.220E+02;1.74868E-02;0.0;1.09475E-02;0.0;8
c_schedule_static.bmp;-0.7489;0.1007;-0.74925;0.10035000000000005;1000;2048;2048;8.33054E-01;305806.3442899771;2.220E+02;1.44956E-02;0.0;2.48308E-02;0.0;8
c_schedule_dynamic.bmp;-0.7489;0.1007;-0.74925;0.10035000000000005;1000;2048;2048;6.65649E-01;305806.3442899771;2.220E+02;1.12412E-02;0.0;2.54176E-02;0.0;8
c_media_atomic.bmp;-0.7489;0.1007;-0.74925;0.10035000000000005;1000;2048;2048;6.53226E-01;305806.3442899771;2.220E+02;2.70185E-02;0.0;2.55947E-02;0.0;8
prof.bmp;-0.7489;0.1007;-0.74925;0.10035000000000005;1000;4096;4096;1.31015E+01;0.0;2.220E+02;8.69012E-03;0.0;1.33340E-02;0.0;8
c_tasks.bmp;-0.7489;0.1007;-0.74925;0.10035000000000005;1000;4096;4096;1.33993E+01;611399.0007899915;2.220E+02;1.21045E-02;0.0;1.96135E-02;0.0;8
c_schedule_static.bmp;-0.7489;0.1007;-0.74925;0.10035000000000005;1000;4096;4096;3.54900E+00;611399.0007899915;2.220E+02;5.32317E-03;0.0;1.09227E-02;0.0;8
c_schedule_dynamic.bmp;-0.7489;0.1007;-0.74925;0.10035000000000005;1000;4096;4096;2.88265E+00;611399.0007899915;2.220E+02;8.85677E-03;0.0;1.10118E-02;0.0;8
c_media_atomic.bmp;-0.7489;0.1007;-0.74925;0.10035000000000005;1000;4096;4096;2.96246E+00;611399.0007899915;2.220E+02;6.75225E-03;0.0;1.18492E-02;0.0;8
prof.bmp;-0.7489;0.1007;-0.74925;0.10035000000000005;1000;8192;8192;5.85343E+01;0.0;2.219E+02;2.27292E-02;0.0;4.22347E-02;0.0;8
c_tasks.bmp;-0.7489;0.1007;-0.74925;0.10035000000000005;1000;8192;8192;5.77568E+01;1222560.21967836;2.219E+02;2.80018E-02;0.0;4.53391E-02;0.0;8
c_schedule_static.bmp;-0.7489;0.1007;-0.74925;0.10035000000000005;1000;8192;8192;1.40841E+01;1222560.21967836;2.219E+02;2.71647E-02;0.0;4.34165E-02;0.0;8
c_schedule_dynamic.bmp;-0.7489;0.1007;-0.74925;0.10035000000000005;1000;8192;8192;1.16521E+01;1222560.21967836;2.219E+02;3.63154E-02;0.0;4.75259E-02;0.0;8
c_media_atomic.bmp;-0.7489;0.1007;-0.74925;0.10035000000000005;1000;8192;8192;1.19194E+01;1222560.21967836;2.219E+02;3.31089E-02;0.0;4.89104E-02;0.0;8
